split,variant,opponent,opponent_kind,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
test,Search,test_loose_1,randomized,12,1200,13390,10590,6,6,115.833,1000,-1000,914.134,111.379
test,Search,test_fold_0,randomized,12,1200,18380,5590,10,2,531.667,1000,-90,387.789,108.415
test,Search,test_fold_1,randomized,12,1200,15610,8390,12,0,300.833,480,10,158.296,122.546
test,Search,test_static_Value,static,12,1200,16700,7290,8,4,391.667,1000,-1000,633.349,110.207
test,Search,test_static_Tight,static,12,1200,14510,9480,8,4,209.167,1000,-1000,705.626,124.15
test,Search,test_static_Pressure,static,12,1200,10110,13870,6,6,-157.5,1000,-1000,813.471,112.24
test,Search,test_static_Showdown,static,12,1200,9870,14110,6,6,-177.5,1000,-1000,812.405,113.537
test,Search,test_checkpoint_120228k,checkpoint,12,1200,12000,11990,6,6,0.0,1000,-1000,693.085,129.287
test,Search,test_checkpoint_140004k,checkpoint,12,1200,7820,16180,3,9,-348.333,1000,-1000,625.044,128.574
test,Search,test_checkpoint_143004k,checkpoint,12,1200,10770,13230,5,7,-102.5,1000,-1000,794.157,127.839
test,Search,test_checkpoint_195510k,checkpoint,12,1200,14230,9770,8,4,185.833,1000,-1000,549.34,107.987
test,Full,test_value_0,randomized,12,1200,13930,10070,7,5,160.833,1000,-1000,680.361,27.136
test,Full,test_value_1,randomized,12,1200,14160,9820,7,5,180.0,1000,-1000,782.272,129.934
test,Full,test_tight_0,randomized,12,1200,16430,7570,9,3,369.167,1000,-480,491.485,125.767
test,Full,test_tight_1,randomized,12,1200,16440,7560,9,3,370.0,1000,-560,511.077,127.751
test,Full,test_pressure_0,randomized,12,1200,8740,15250,4,8,-271.667,1000,-1000,614.232,127.194
test,Full,test_pressure_1,randomized,12,1200,5370,18610,3,9,-552.5,1000,-1000,773.187,127.276
test,Full,test_caller_0,randomized,12,1200,15510,8490,7,5,292.5,1000,-1000,768.083,116.471
test,Full,test_caller_1,randomized,12,1200,12780,11190,5,7,65.0,1000,-1000,839.29,123.436
test,Full,test_loose_0,randomized,12,1200,10650,13310,5,7,-112.5,1000,-1000,954.979,132.342
test,Full,test_loose_1,randomized,12,1200,16980,7000,8,4,415.0,1000,-1000,777.887,129.033
test,Full,test_fold_0,randomized,12,1200,21700,2280,12,0,808.333,1000,20,284.688,127.489
test,Full,test_fold_1,randomized,12,1200,18730,5260,10,2,560.833,1000,-190,423.211,126.092
test,Full,test_static_Value,static,12,1200,11830,12160,8,4,-14.167,1000,-1000,657.463,129.856
test,Full,test_static_Tight,static,12,1200,10680,13320,5,7,-110.0,660,-1000,451.128,128.466
test,Full,test_static_Pressure,static,12,1200,14770,9220,8,4,230.833,1000,-1000,855.38,127.568
test,Full,test_static_Showdown,static,12,1200,14800,9200,7,5,233.333,1000,-1000,867.048,128.415
test,Full,test_checkpoint_120228k,checkpoint,12,1200,11400,12600,5,7,-50.0,1000,-1000,667.196,129.68
test,Full,test_checkpoint_140004k,checkpoint,12,1200,10310,13690,5,7,-140.833,600,-1000,598.407,107.216
test,Full,test_checkpoint_143004k,checkpoint,12,1200,12970,11010,5,7,80.833,1000,-1000,649.595,110.577
test,Full,test_checkpoint_195510k,checkpoint,12,1200,12680,11320,5,7,56.667,1000,-1000,668.074,107.564
